time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;1.651058;-9.44734;-2.033488;-0.009172;0.019982;0.014306;-0.517315;0.589761;0.141354
2;1.619227;-9.391439;-1.97381;-0.005345;0.003326;0.001908;-0.515875;0.590925;0.139193
3;0.712686;-9.401916;0.77588;-0.436582;-0.664116;-0.095616;-0.51669;0.590733;0.148485
4;1.906941;-11.02978;-4.440088;0.059062;0.73496;-0.223549;-0.521078;0.586772;0.148628
5;1.185951;-7.312057;-1.14113;0.144407;-0.215821;0.162443;-0.518328;0.589372;0.144292
6;2.239351;-9.860197;-2.308382;0.024225;0.113494;0.039389;-0.517239;0.590385;0.145356
7;1.319846;-9.559735;-2.070788;-0.040274;0.006301;0.053002;-0.516935;0.59108;0.141206
8;1.663342;-9.649532;-1.743677;-0.024511;-0.058823;0.068865;-0.515006;0.591116;0.14351
9;1.478191;-9.624068;-1.869195;0.097855;0.000597;-0.067813;-0.514189;0.592966;0.141814
10;1.658459;-9.366726;-2.296432;-0.020289;-0.052533;-0.044133;-0.51429;0.592032;0.142355
11;1.819297;-9.406567;-2.207713;-0.006115;0.010274;-0.043949;-0.515818;0.591287;0.142814
12;1.709599;-9.386576;-2.212169;0.091484;0.057;-0.064082;-0.519314;0.588493;0.14271
13;1.826804;-9.496373;-2.252498;0.118775;0.08855;-0.047184;-0.519668;0.590281;0.138363
14;1.384898;-9.278933;-1.77391;0.080256;0.089425;-0.004938;-0.518905;0.590169;0.133094
15;1.662626;-9.353695;-1.514082;-0.010015;0.020387;-0.036912;-0.519734;0.588879;0.132051
16;2.014458;-9.76306;-1.721706;-0.137208;-0.023584;-0.003528;-0.520263;0.58941;0.13434
17;1.482788;-9.483309;-1.832449;-0.085401;-0.04121;-0.007155;-0.522572;0.588673;0.137219
18;1.865271;-9.31977;-2.003117;-0.06239;-0.089926;0.005258;-0.521858;0.588208;0.141029
19;1.806887;-9.309488;-2.143566;-0.082171;-0.078929;0.013193;-0.521331;0.589227;0.143748
20;1.858756;-9.605641;-2.343035;-0.083988;-0.046082;0.017662;-0.518963;0.588038;0.147018
21;1.692484;-9.362231;-2.19818;0.005184;-0.024456;0.014253;-0.5193;0.588707;0.148018
22;1.824291;-9.479465;-2.199033;0.016;0.007259;0.008172;-0.517443;0.588227;0.148908
23;1.619532;-9.47609;-2.153288;0.019651;0.032667;0.00199;-0.518848;0.588569;0.14675
24;1.702096;-9.352832;-2.061258;0.017664;0.011918;0.010811;-0.516268;0.589003;0.146615
25;1.736555;-9.547285;-2.062243;0.067634;0.033241;0.010902;-0.517346;0.589186;0.145775
26;1.672994;-9.454762;-2.0208;0.032008;0.023774;0.007301;-0.518261;0.59058;0.143094
27;1.658245;-9.398895;-1.987761;0.023964;0.007358;0.008142;-0.517045;0.59108;0.141588
28;1.658337;-9.45964;-1.97203;-0.012527;-0.007575;0.005414;-0.516786;0.59147;0.141591
29;1.707104;-9.45983;-2.000632;-0.012144;-0.010772;-0.012242;-0.516752;0.590796;0.14226
30;1.670582;-9.46932;-2.020583;0.0127;0.010511;-0.006882;-0.516266;0.590517;0.141646
31;1.650993;-9.410915;-2.031678;-0.008958;-0.005713;0.005425;-0.515397;0.591931;0.143465
32;1.702357;-9.48634;-2.093166;-0.01402;-0.006088;-0.006939;-0.516233;0.591042;0.142281
33;1.658313;-9.418248;-2.026549;0.001156;-0.007817;-0.008697;-0.517226;0.591872;0.143111
34;1.697449;-9.466887;-2.093579;0.005604;0.019502;-0.008629;-0.516311;0.591968;0.143286
35;1.677919;-9.466863;-2.054749;0.005432;0.003359;0.000163;-0.516829;0.591322;0.143277
36;1.707067;-9.418468;-2.040478;-0.0025;0.004052;-0.005131;-0.516337;0.591308;0.142786
37;1.670607;-9.479016;-2.030195;0.007439;0.00128;-0.01044;-0.517414;0.591225;0.141953
38;1.709518;-9.445266;-2.003294;0.001889;0.000536;-0.001603;-0.516337;0.591175;0.14279
39;1.672969;-9.442628;-2.016121;-0.005195;-0.00956;-0.003407;-0.515702;0.591685;0.142549
40;1.663267;-9.464417;-2.02567;-0.005257;-0.013103;0.000113;-0.51648;0.591449;0.142515
41;1.653544;-9.464311;-2.055164;-0.005027;-0.013368;-0.010487;-0.515446;0.593008;0.142524
42;1.668128;-9.449841;-2.040522;-0.022846;-0.008113;-0.012258;-0.516687;0.591714;0.143533
43;1.702316;-9.488868;-2.04177;0.001117;0.006766;-0.006896;-0.514855;0.590173;0.143934
44;1.687608;-9.425597;-2.069993;-0.009834;-0.022078;0.006283;-0.51521;0.590181;0.144563
45;1.680386;-9.469247;-2.084015;0.014456;0.001504;-0.004245;-0.515082;0.591109;0.144543
46;1.668116;-9.430365;-2.065315;0.020105;0.006623;-0.019242;-0.515919;0.59022;0.143358
47;1.692508;-9.44507;-2.059798;0.020087;0.007545;-0.018352;-0.516181;0.59183;0.143297
48;1.66325;-9.442512;-2.050505;-0.012379;0.003168;-0.001625;-0.515688;0.591282;0.142821
49;1.719302;-9.45011;-2.034851;-0.003241;0.006585;-0.012192;-0.515985;0.59181;0.144604
50;1.668103;-9.435269;-2.040776;-0.008563;0.009244;-0.013971;-0.516399;0.591164;0.144082
51;1.682767;-9.45963;-2.04013;-0.006967;0.001317;-0.004269;-0.515752;0.591539;0.144106
52;1.677868;-9.440158;-2.050324;-0.001552;-0.00416;-0.006923;-0.516827;0.590256;0.143309
53;1.687675;-9.474208;-2.049583;-0.01423;-0.011296;0.002762;-0.516894;0.590271;0.142009
54;1.643775;-9.447242;-2.06539;-0.002192;-0.008087;-0.018423;-0.516452;0.590643;0.143058
55;1.68273;-9.430458;-2.05531;-0.014123;-0.000537;-0.003395;-0.516364;0.59009;0.144764
56;1.653565;-9.466702;-2.074684;-0.020205;0.011043;-0.011338;-0.516938;0.59119;0.143664
57;1.697428;-9.45962;-2.083924;-0.010547;0.00313;-0.003382;-0.516132;0.590619;0.144242
58;1.682705;-9.411011;-2.06543;0.000304;-0.004235;-0.010449;-0.516937;0.59079;0.143676
59;1.685281;-9.478977;-2.088662;0.001868;0.006969;0.000168;-0.516897;0.590647;0.14446
60;1.711975;-9.420855;-2.074597;0.009224;-0.000531;-0.010425;-0.515464;0.590589;0.144667
61;1.687705;-9.483893;-2.064086;0.024995;-2.6e-05;0.003713;-0.516455;0.591153;0.145505
62;1.668095;-9.423099;-2.05566;0.008183;-0.003072;-0.003378;-0.516979;0.591465;0.142877
63;1.673032;-9.459552;-2.054951;-0.010367;0.002907;-0.012221;-0.516794;0.590515;0.143951
64;1.658399;-9.454625;-2.052813;0.008333;0.000387;-0.010442;-0.515852;0.591695;0.142152
65;1.682709;-9.423191;-2.045655;0.009362;0.002932;-0.017491;-0.517458;0.59161;0.143624
66;1.677965;-9.47895;-2.083883;0.010951;0.01048;-0.007765;-0.515916;0.591951;0.143437
67;1.694965;-9.459663;-2.054616;0.000931;0.00427;0.001932;-0.51564;0.590738;0.143746
68;1.677792;-9.408633;-2.026421;-0.001706;-0.009438;0.000134;-0.515938;0.589425;0.142992
69;1.702332;-9.474206;-2.088487;0.001961;0.006849;-0.004243;-0.516321;0.590105;0.143081
70;1.668091;-9.427984;-2.040903;0.012635;0.001511;-0.003364;-0.516289;0.590897;0.143707
71;1.704678;-9.440289;-2.052361;0.010662;0.007169;0.005486;-0.516307;0.589835;0.143349
72;1.682805;-9.474174;-2.054548;0.003548;-0.003798;0.005446;-0.517089;0.591732;0.143252
73;1.677812;-9.411028;-2.043496;0.007126;0.004374;0.003705;-0.515365;0.590882;0.141554
74;1.673047;-9.459519;-2.072069;0.028438;0.007424;0.009029;-0.515598;0.590886;0.14206
75;1.638875;-9.459464;-2.011454;0.001717;0.019846;0.005482;-0.514644;0.592597;0.140505
76;1.687667;-9.479103;-2.029935;0.009548;0.008346;0.016077;-0.515125;0.593674;0.141226
77;1.631521;-9.444893;-1.992256;0.026694;0.016418;0.005502;-0.514542;0.593264;0.139973
78;1.590294;-9.514933;-2.084586;0.0252;0.01975;-0.006874;-0.514727;0.594081;0.138902
79;1.604768;-9.43001;-2.083399;0.002077;0.008545;-0.010444;-0.514882;0.593159;0.138403
80;1.687727;-9.43996;-2.177337;0.016059;0.048079;0.00204;-0.515428;0.593452;0.137847
81;1.663834;-9.624062;-2.355451;0.0432;0.125149;-0.017223;-0.516586;0.593521;0.135451
82;1.626394;-9.36498;-1.861676;0.025235;0.121261;-0.019008;-0.516773;0.593563;0.131811
83;2.165256;-9.635281;-1.633611;0.002172;0.08617;-0.022521;-0.518137;0.59363;0.130441
84;0.892731;-9.473643;-1.523666;0.056159;0.110048;-0.049238;-0.518403;0.592757;0.12527
85;1.700786;-8.926664;-1.41334;-0.112905;-0.033652;0.017667;-0.517688;0.592983;0.126597
86;1.544285;-9.935806;-1.583997;-0.200045;-0.035663;-0.069127;-0.518374;0.592169;0.13086
87;1.551441;-9.694832;-1.886415;-0.199326;-0.110019;-0.097512;-0.521431;0.589856;0.134265
88;1.310704;-8.939653;-1.213618;-0.192821;-0.380141;-0.064498;-0.522768;0.584223;0.14343
89;2.267093;-10.014286;-3.068231;0.087189;0.114492;0.19402;-0.518669;0.588843;0.145196
90;1.501502;-8.943922;-2.012727;-0.26306;-0.083616;0.167483;-0.514487;0.591713;0.148573
91;1.803983;-8.800984;-2.621968;-0.182588;0.03609;0.198835;-0.510619;0.593915;0.153379
92;2.059187;-9.907645;-2.417883;-0.143075;0.06304;0.108812;-0.50555;0.597153;0.156404
93;2.229791;-9.976749;-2.291827;0.210779;0.123324;0.077585;-0.503783;0.599515;0.153059
94;2.120884;-9.031571;-2.258574;0.278152;0.110075;0.173963;-0.502771;0.603284;0.145098
95;1.438539;-9.103615;-2.152733;0.128199;0.076441;0.178827;-0.4978;0.608059;0.141204
96;1.232327;-9.583192;-2.26978;0.050666;0.053412;0.224516;-0.492315;0.612015;0.137232
97;0.753875;-9.153442;-2.225824;0.003462;0.096559;0.212979;-0.486953;0.616931;0.130894
98;1.086061;-9.738573;-1.912272;-0.04056;0.050482;0.106;-0.483289;0.621045;0.131745
99;0.718356;-9.882336;-1.95936;0.059044;0.08984;0.07782;-0.480441;0.622241;0.134323
100;1.108012;-9.636251;-2.136247;0.043196;0.053004;0.069909;-0.479115;0.623565;0.129949
101;0.897894;-9.358442;-2.083133;-0.05534;0.089889;0.083088;-0.476968;0.625889;0.128958
102;0.703472;-9.712187;-1.999227;-0.021984;0.001594;0.032516;-0.476882;0.625919;0.125592
103;1.107681;-9.524842;-1.979243;0.028268;-0.037587;0.019374;-0.47558;0.626666;0.125769
104;0.985876;-9.4266;-2.22978;0.054927;-0.017129;0.024724;-0.474651;0.628333;0.12875
105;1.029931;-9.543426;-2.212407;0.010845;0.020183;0.040648;-0.473442;0.628835;0.127115
106;0.961687;-9.552845;-2.186378;-0.023338;0.032781;0.010587;-0.472452;0.628805;0.126261
107;0.978698;-9.596922;-2.043523;0.052092;0.050916;-0.014903;-0.472761;0.630425;0.12529
108;0.966299;-9.490067;-2.011336;0.055514;0.042011;-0.008728;-0.474461;0.628654;0.122401
109;1.122326;-9.483422;-2.087337;0.007128;0.018229;0.003576;-0.47303;0.629796;0.122573
110;1.112739;-9.580531;-2.078456;0.02132;0.036631;0.007151;-0.473513;0.630232;0.12072
111;0.995766;-9.616494;-2.013579;0.023743;0.053142;-0.024643;-0.474201;0.629734;0.119921
112;0.971272;-9.582512;-1.941181;0.000572;0.019292;-0.024743;-0.474992;0.630724;0.117129
113;1.017484;-9.534194;-1.93154;-0.004731;0.028234;-0.028247;-0.475119;0.629263;0.117165
114;1.073591;-9.55386;-1.954801;0.018664;-0.000877;-0.035331;-0.474865;0.628455;0.117072
115;1.066277;-9.570894;-1.917935;0.001471;-0.003456;-0.023879;-0.476162;0.628906;0.11699
116;1.112581;-9.505306;-2.047978;0.005607;-0.012987;-0.007093;-0.475958;0.629707;0.115941
117;1.141856;-9.505388;-2.081768;0.001156;0.012392;-0.008804;-0.476903;0.627886;0.115167
118;1.141765;-9.525092;-1.939596;0.018811;0.019979;-0.001706;-0.477648;0.628042;0.115771
119;1.080998;-9.636575;-1.899451;0.017939;0.015438;-0.001744;-0.476748;0.628675;0.11567
120;1.112478;-9.520162;-1.901;0.020081;-0.004089;-0.018543;-0.476554;0.628146;0.1144
121;1.13206;-9.524947;-1.988653;0.009078;-0.002878;-0.003533;-0.476813;0.627623;0.114402
