time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-5.478942;-8.158772;0.493716;-0.001631;0.00288;-0.003505;0.081086;0.773455;-0.198335
2;-5.498454;-8.144083;0.483384;-0.009025;-0.000491;0.00884;0.081026;0.771996;-0.197016
3;-5.513075;-8.14401;0.483161;0.01077;0.012186;5.3e-05;0.082402;0.773134;-0.197617
4;-5.483819;-8.149005;0.478801;0.005262;0.005059;0.007989;0.081784;0.774733;-0.197183
5;-5.491126;-8.156272;0.488597;-0.015976;0.001037;5e-06;0.081983;0.773815;-0.198298
6;-5.503285;-8.163467;0.473867;-0.001622;0.000163;-0.003517;0.081346;0.773157;-0.195753
7;-5.498462;-8.146541;0.498097;-0.014241;0.006556;0.001783;0.081713;0.774091;-0.198576
8;-5.520373;-8.14882;0.478243;-0.001423;-0.011883;-0.012377;0.082069;0.773401;-0.196618
9;-5.498422;-8.15864;0.476302;-0.004124;0.007187;-0.012336;0.081637;0.774348;-0.197564
10;-5.49847;-8.139246;0.49308;0.007302;-0.007952;-0.00352;0.083703;0.773738;-0.197182
11;-5.498443;-8.153811;0.490889;-0.017828;-0.004342;0.003522;0.082717;0.773242;-0.196451
12;-5.50821;-8.144053;0.493016;-0.005149;0.004612;-0.006161;0.081448;0.773289;-0.196263
13;-5.493576;-8.148974;0.488433;-0.004454;0.000317;0.003549;0.081773;0.773551;-0.197406
14;-5.503329;-8.144064;0.485755;-0.000693;-0.004424;-0.00529;0.082009;0.774072;-0.197792
15;-5.500893;-8.146514;0.490724;0.010056;-0.008929;-0.007053;0.08255;0.772993;-0.197221
16;-5.508214;-8.144062;0.497906;0.00351;0.005005;0.006214;0.08203;0.773146;-0.197381
17;-5.508195;-8.148895;0.485765;-0.006822;-0.006431;-0.010602;0.081787;0.773021;-0.197134
18;-5.508163;-8.163452;0.478683;-0.017536;0.002576;-0.010597;0.081932;0.774592;-0.196788
19;-5.50576;-8.144037;0.478382;-0.007042;0.017446;-0.001721;0.08205;0.77301;-0.196992
20;-5.517952;-8.134242;0.468246;-0.02253;0.008638;0.014139;0.082122;0.773257;-0.195587
21;-5.520364;-8.146362;0.46353;0.000298;-0.004521;-0.00971;0.08405;0.774234;-0.195386
22;-5.488693;-8.14898;0.478726;-0.002376;-0.008196;-0.009712;0.08221;0.773524;-0.196358
23;-5.513087;-8.134286;0.478101;-0.00346;0.006564;-0.00174;0.082062;0.773534;-0.19675
24;-5.513075;-8.14401;0.483161;-0.002317;-0.011894;-0.012376;0.081952;0.774193;-0.196391
25;-5.517969;-8.119653;0.458211;-0.006854;-0.010015;-0.008843;0.083518;0.773732;-0.195784
26;-5.517919;-8.148794;0.458719;-0.006789;0.000808;-0.012356;0.084367;0.773552;-0.194198
27;-5.513037;-8.1488;0.449012;-0.002369;0.004529;-0.010576;0.084552;0.773295;-0.195589
28;-5.510612;-8.143965;0.453855;0.018243;-0.009944;-0.014113;0.081959;0.773928;-0.196255
29;-5.503338;-8.144082;0.495535;0.007121;-0.011362;0.005303;0.083003;0.775069;-0.195849
