time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-3.790751;9.111657;0.336882;-0.014497;0.007949;0.001457;0.065249;-0.690066;-0.336753
2;-3.783257;9.089052;0.381781;-0.025314;-0.000236;-0.002191;0.066363;-0.690057;-0.336444
3;-3.753229;9.133788;0.367465;-3.7e-05;-0.00015;-0.002267;0.065787;-0.69087;-0.336993
4;-3.768225;9.133911;0.352267;0.007278;0.014148;-0.005801;0.066218;-0.690343;-0.334808
5;-3.768276;9.111551;0.337262;0.014518;0.003346;-0.009508;0.065862;-0.689512;-0.337562
6;-3.790778;9.111762;0.306994;0.005361;-0.001872;-0.000466;0.06623;-0.689804;-0.334545
7;-3.768215;9.163952;0.307516;-0.008997;0.005147;-0.004918;0.066385;-0.69102;-0.334516
8;-3.77578;9.104115;0.337115;-0.014426;0.006938;-0.003983;0.065042;-0.690346;-0.335937
9;-3.753306;9.10401;0.337495;-0.008154;0.003425;-0.001317;0.066164;-0.689527;-0.33537
10;-3.768239;9.133964;0.337323;-0.009078;-0.007348;-0.002286;0.065938;-0.690615;-0.334948
11;-3.768239;9.133964;0.337323;-0.01444;0.010558;-0.002154;0.064911;-0.690077;-0.33581
12;-3.768283;9.111577;0.32979;-0.01076;0.008668;-0.007601;0.066151;-0.691417;-0.33588
13;-3.798242;9.111693;0.336756;-0.012662;0.00161;-0.002205;0.06616;-0.690607;-0.335622
14;-3.768245;9.13399;0.329851;-0.007142;0.003267;-0.009456;0.065601;-0.690477;-0.33578
15;-3.76827;9.119048;0.32981;0.003619;-0.00379;-0.005911;0.066141;-0.691416;-0.336017
16;-3.753308;9.119056;0.307647;-0.012748;-0.005461;0.003156;0.065752;-0.690747;-0.335633
17;-3.760754;9.133954;0.329977;-0.008982;0.015917;-0.003943;0.065484;-0.691155;-0.335634
18;-3.768252;9.134016;0.322379;-0.014509;-0.005537;-0.000452;0.066487;-0.69007;-0.334804
19;-3.78326;9.119145;0.322085;0.001807;0.017829;-0.000329;0.065903;-0.690342;-0.335363
20;-3.768226;9.141435;0.337343;-0.007195;0.010548;-0.003981;0.065348;-0.690481;-0.335515
21;-3.79072;9.134096;0.329471;0.005545;-0.00396;-0.014953;0.066909;-0.691553;-0.334898
22;-3.783248;9.134139;0.307181;6.2e-05;-0.003871;-0.009516;0.065907;-0.689937;-0.335235
23;-3.783247;9.119093;0.337029;-0.001731;0.002395;-0.009469;0.066383;-0.690209;-0.334396
24;-3.768301;9.089087;0.352145;-0.005408;0.001572;-0.004948;0.066805;-0.692368;-0.334613
25;-3.775737;9.134026;0.329724;-0.011817;0.006199;0.003241;0.0676;-0.690736;-0.334618
26;-3.760761;9.133981;0.322505;0.005379;0.008892;0.000497;0.068091;-0.690455;-0.335289
27;-3.753294;9.119003;0.322591;0.003444;-0.006225;0.006729;0.065923;-0.691019;-0.335213
28;-3.753288;9.118978;0.330063;-0.014367;0.001444;-0.009456;0.065953;-0.690211;-0.334682
29;-3.760798;9.104045;0.337368;-0.007317;-0.001874;0.002266;0.065662;-0.691834;-0.335206
30;-3.768296;9.104106;0.329769;-0.002747;-0.003739;-0.002277;0.065686;-0.689945;-0.33456
31;-3.783273;9.111674;0.322065;-0.026117;-0.000364;-0.008522;0.065737;-0.691301;-0.334123
32;-3.753294;9.119003;0.322591;-0.010935;-0.00187;0.003176;0.06646;-0.691013;-0.335332
33;-3.768301;9.096609;0.337221;-0.011697;0.022219;-0.002081;0.066182;-0.690745;-0.335346
34;-3.760786;9.119039;0.322464;-0.005205;0.01388;-0.016629;0.066027;-0.691555;-0.335745
35;-3.768239;9.133964;0.337323;-0.012615;0.000632;-0.005842;0.067342;-0.68966;-0.334238
36;-3.760798;9.104045;0.337368;-0.008072;-0.005701;-0.009516;0.06624;-0.69048;-0.334532
37;-3.783272;9.104151;0.336989;-0.008938;0.006849;-0.009421;0.064569;-0.691845;-0.335242
38;-3.768276;9.111551;0.337262;-0.007281;-0.001927;-0.000445;0.065019;-0.691559;-0.33646
39;-3.798204;9.134106;0.336817;-0.001885;-0.016275;-0.002351;0.066333;-0.691015;-0.3352
40;-3.775787;9.104142;0.329643;0.001808;0.01062;-0.002189;0.06472;-0.690764;-0.334849
41;-3.783233;9.11904;0.351974;-0.003521;0.008661;-0.009422;0.066408;-0.691683;-0.336139
42;-3.783273;9.119197;0.307141;7e-05;0.015024;-0.005771;0.065762;-0.690748;-0.335496
43;-3.783266;9.111649;0.329537;-0.027066;0.005101;-0.003961;0.066041;-0.691151;-0.33548
44;-3.768277;9.119074;0.322338;-0.01147;0.015578;-0.020217;0.065336;-0.690345;-0.335655
45;-3.783228;9.134061;0.329598;-0.011687;-0.0075;-0.009511;0.065936;-0.689804;-0.334827
46;-3.768239;9.133964;0.337323;-0.009124;0.017932;0.006927;0.066131;-0.690064;-0.335906
47;-3.76827;9.119048;0.32981;-0.007187;-0.003866;-0.007694;0.066304;-0.691147;-0.335607
48;-3.768252;9.134016;0.322379;-8.9e-05;0.003552;0.003191;0.065671;-0.690874;-0.336724
